"Renta personal media de la C.A. de Euskadi (euros) por ámbitos territoriales, tipo de renta, sexo y periodo"

"ámbitos territoriales";"tipo de renta";"sexo";"periodo";Renta personal media de la C.A. de Euskadi (euros)
"Armiñón";"Renta disponible";"Total";"2011";16208
"Armiñón";"Renta disponible";"Total";"2013";14726
"Armiñón";"Renta disponible";"Total";"2014";15002
"Armiñón";"Renta disponible";"Total";"2015";16384
"Armiñón";"Renta disponible";"Total";"2016";14649
"Armiñón";"Renta disponible";"Total";"2017";15883
"Armiñón";"Renta disponible";"Total";"2018";16916
"Armiñón";"Renta disponible";"Total";"2019";17757
"Armiñón";"Renta disponible";"Hombres";"2001";12869
"Armiñón";"Renta disponible";"Hombres";"2003";12529
"Armiñón";"Renta disponible";"Hombres";"2006";22119
"Armiñón";"Renta disponible";"Hombres";"2009";18448
"Armiñón";"Renta disponible";"Hombres";"2011";19975
"Armiñón";"Renta disponible";"Hombres";"2013";17707
"Armiñón";"Renta disponible";"Hombres";"2014";17509
"Armiñón";"Renta disponible";"Hombres";"2015";20845
"Armiñón";"Renta disponible";"Hombres";"2016";17773
"Armiñón";"Renta disponible";"Hombres";"2017";19836
"Armiñón";"Renta disponible";"Hombres";"2018";21679
"Armiñón";"Renta disponible";"Hombres";"2019";20868
"Armiñón";"Renta disponible";"Mujeres";"2001";8117
"Armiñón";"Renta disponible";"Mujeres";"2003";9227
"Armiñón";"Renta disponible";"Mujeres";"2006";11764
"Armiñón";"Renta disponible";"Mujeres";"2009";12635
"Armiñón";"Renta disponible";"Mujeres";"2011";12162
"Armiñón";"Renta disponible";"Mujeres";"2013";11105
"Armiñón";"Renta disponible";"Mujeres";"2014";12166
"Armiñón";"Renta disponible";"Mujeres";"2015";11550
"Armiñón";"Renta disponible";"Mujeres";"2016";11227
"Armiñón";"Renta disponible";"Mujeres";"2017";12157
"Armiñón";"Renta disponible";"Mujeres";"2018";12406
"Armiñón";"Renta disponible";"Mujeres";"2019";14911
"Arraia-Maeztu";"Renta total";"Total";"2001";11071
"Arraia-Maeztu";"Renta total";"Total";"2003";12411
"Arraia-Maeztu";"Renta total";"Total";"2006";16073
"Arraia-Maeztu";"Renta total";"Total";"2009";18550
"Arraia-Maeztu";"Renta total";"Total";"2011";19894
"Arraia-Maeztu";"Renta total";"Total";"2013";19459
"Arraia-Maeztu";"Renta total";"Total";"2014";19027
"Arraia-Maeztu";"Renta total";"Total";"2015";20822
"Arraia-Maeztu";"Renta total";"Total";"2016";19462
"Arraia-Maeztu";"Renta total";"Total";"2017";21305
"Arraia-Maeztu";"Renta total";"Total";"2018";23311
"Arraia-Maeztu";"Renta total";"Total";"2019";60733
"Arraia-Maeztu";"Renta total";"Hombres";"2001";13874
"Arraia-Maeztu";"Renta total";"Hombres";"2003";16053
"Arraia-Maeztu";"Renta total";"Hombres";"2006";20843
"Arraia-Maeztu";"Renta total";"Hombres";"2009";22432
"Arraia-Maeztu";"Renta total";"Hombres";"2011";24197
"Arraia-Maeztu";"Renta total";"Hombres";"2013";22659
"Arraia-Maeztu";"Renta total";"Hombres";"2014";21666
"Arraia-Maeztu";"Renta total";"Hombres";"2015";25637
"Arraia-Maeztu";"Renta total";"Hombres";"2016";22889
"Arraia-Maeztu";"Renta total";"Hombres";"2017";26162
"Arraia-Maeztu";"Renta total";"Hombres";"2018";28583
"Arraia-Maeztu";"Renta total";"Hombres";"2019";63676
"Arraia-Maeztu";"Renta total";"Mujeres";"2001";7675
"Arraia-Maeztu";"Renta total";"Mujeres";"2003";8138
"Arraia-Maeztu";"Renta total";"Mujeres";"2006";10417
"Arraia-Maeztu";"Renta total";"Mujeres";"2009";13611
"Arraia-Maeztu";"Renta total";"Mujeres";"2011";14700
"Arraia-Maeztu";"Renta total";"Mujeres";"2013";15436
"Arraia-Maeztu";"Renta total";"Mujeres";"2014";15760
"Arraia-Maeztu";"Renta total";"Mujeres";"2015";14865
"Arraia-Maeztu";"Renta total";"Mujeres";"2016";15209
"Arraia-Maeztu";"Renta total";"Mujeres";"2017";15239
"Arraia-Maeztu";"Renta total";"Mujeres";"2018";16827
"Arraia-Maeztu";"Renta total";"Mujeres";"2019";56923
"Arraia-Maeztu";"Renta del trabajo";"Total";"2001";6772
"Arraia-Maeztu";"Renta del trabajo";"Total";"2003";7717
"Arraia-Maeztu";"Renta del trabajo";"Total";"2006";10837
"Arraia-Maeztu";"Renta del trabajo";"Total";"2009";11594
"Arraia-Maeztu";"Renta del trabajo";"Total";"2011";11576
"Arraia-Maeztu";"Renta del trabajo";"Total";"2013";11112
"Arraia-Maeztu";"Renta del trabajo";"Total";"2014";10954
"Arraia-Maeztu";"Renta del trabajo";"Total";"2015";11046
"Arraia-Maeztu";"Renta del trabajo";"Total";"2016";11042
"Arraia-Maeztu";"Renta del trabajo";"Total";"2017";11632
"Arraia-Maeztu";"Renta del trabajo";"Total";"2018";12685
"Arraia-Maeztu";"Renta del trabajo";"Total";"2019";13311
"Arraia-Maeztu";"Renta del trabajo";"Hombres";"2001";8742
"Arraia-Maeztu";"Renta del trabajo";"Hombres";"2003";10167
"Arraia-Maeztu";"Renta del trabajo";"Hombres";"2006";14741
"Arraia-Maeztu";"Renta del trabajo";"Hombres";"2009";13820
"Arraia-Maeztu";"Renta del trabajo";"Hombres";"2011";13587
"Arraia-Maeztu";"Renta del trabajo";"Hombres";"2013";12156
"Arraia-Maeztu";"Renta del trabajo";"Hombres";"2014";12354
"Arraia-Maeztu";"Renta del trabajo";"Hombres";"2015";13101
"Arraia-Maeztu";"Renta del trabajo";"Hombres";"2016";13060
"Arraia-Maeztu";"Renta del trabajo";"Hombres";"2017";13617
"Arraia-Maeztu";"Renta del trabajo";"Hombres";"2018";14357
"Arraia-Maeztu";"Renta del trabajo";"Hombres";"2019";14741
"Arraia-Maeztu";"Renta del trabajo";"Mujeres";"2001";4387
"Arraia-Maeztu";"Renta del trabajo";"Mujeres";"2003";4843
"Arraia-Maeztu";"Renta del trabajo";"Mujeres";"2006";6208
"Arraia-Maeztu";"Renta del trabajo";"Mujeres";"2009";8762
"Arraia-Maeztu";"Renta del trabajo";"Mujeres";"2011";9149
"Arraia-Maeztu";"Renta del trabajo";"Mujeres";"2013";9799
"Arraia-Maeztu";"Renta del trabajo";"Mujeres";"2014";9220
"Arraia-Maeztu";"Renta del trabajo";"Mujeres";"2015";8504
"Arraia-Maeztu";"Renta del trabajo";"Mujeres";"2016";8538
"Arraia-Maeztu";"Renta del trabajo";"Mujeres";"2017";9152
"Arraia-Maeztu";"Renta del trabajo";"Mujeres";"2018";10629
"Arraia-Maeztu";"Renta del trabajo";"Mujeres";"2019";11460
"Arraia-Maeztu";"Renta capital mobiliario";"Total";"2001";655
"Arraia-Maeztu";"Renta capital mobiliario";"Total";"2003";874
"Arraia-Maeztu";"Renta capital mobiliario";"Total";"2006";668
"Arraia-Maeztu";"Renta capital mobiliario";"Total";"2009";1452
"Arraia-Maeztu";"Renta capital mobiliario";"Total";"2011";1332
"Arraia-Maeztu";"Renta capital mobiliario";"Total";"2013";1426
"Arraia-Maeztu";"Renta capital mobiliario";"Total";"2014";876
"Arraia-Maeztu";"Renta capital mobiliario";"Total";"2015";2322
"Arraia-Maeztu";"Renta capital mobiliario";"Total";"2016";870
"Arraia-Maeztu";"Renta capital mobiliario";"Total";"2017";2048
"Arraia-Maeztu";"Renta capital mobiliario";"Total";"2018";3211
"Arraia-Maeztu";"Renta capital mobiliario";"Total";"2019";39220
"Arraia-Maeztu";"Renta capital mobiliario";"Hombres";"2001";678
"Arraia-Maeztu";"Renta capital mobiliario";"Hombres";"2003";1247
"Arraia-Maeztu";"Renta capital mobiliario";"Hombres";"2006";776
"Arraia-Maeztu";"Renta capital mobiliario";"Hombres";"2009";1936
"Arraia-Maeztu";"Renta capital mobiliario";"Hombres";"2011";1834
"Arraia-Maeztu";"Renta capital mobiliario";"Hombres";"2013";2037
"Arraia-Maeztu";"Renta capital mobiliario";"Hombres";"2014";990
"Arraia-Maeztu";"Renta capital mobiliario";"Hombres";"2015";3910
"Arraia-Maeztu";"Renta capital mobiliario";"Hombres";"2016";1191
"Arraia-Maeztu";"Renta capital mobiliario";"Hombres";"2017";3558
"Arraia-Maeztu";"Renta capital mobiliario";"Hombres";"2018";5392
"Arraia-Maeztu";"Renta capital mobiliario";"Hombres";"2019";39282
"Arraia-Maeztu";"Renta capital mobiliario";"Mujeres";"2001";629
"Arraia-Maeztu";"Renta capital mobiliario";"Mujeres";"2003";437
"Arraia-Maeztu";"Renta capital mobiliario";"Mujeres";"2006";540
"Arraia-Maeztu";"Renta capital mobiliario";"Mujeres";"2009";836
"Arraia-Maeztu";"Renta capital mobiliario";"Mujeres";"2011";727
"Arraia-Maeztu";"Renta capital mobiliario";"Mujeres";"2013";658
"Arraia-Maeztu";"Renta capital mobiliario";"Mujeres";"2014";735
"Arraia-Maeztu";"Renta capital mobiliario";"Mujeres";"2015";356
"Arraia-Maeztu";"Renta capital mobiliario";"Mujeres";"2016";471
"Arraia-Maeztu";"Renta capital mobiliario";"Mujeres";"2017";161
"Arraia-Maeztu";"Renta capital mobiliario";"Mujeres";"2018";528
"Arraia-Maeztu";"Renta capital mobiliario";"Mujeres";"2019";39140
"Arraia-Maeztu";"Renta capital inmobiliario";"Total";"2001";111
"Arraia-Maeztu";"Renta capital inmobiliario";"Total";"2003";143
"Arraia-Maeztu";"Renta capital inmobiliario";"Total";"2006";167
"Arraia-Maeztu";"Renta capital inmobiliario";"Total";"2009";350
"Arraia-Maeztu";"Renta capital inmobiliario";"Total";"2011";422
"Arraia-Maeztu";"Renta capital inmobiliario";"Total";"2013";403
"Arraia-Maeztu";"Renta capital inmobiliario";"Total";"2014";371
"Arraia-Maeztu";"Renta capital inmobiliario";"Total";"2015";425
"Arraia-Maeztu";"Renta capital inmobiliario";"Total";"2016";431
"Arraia-Maeztu";"Renta capital inmobiliario";"Total";"2017";406
"Arraia-Maeztu";"Renta capital inmobiliario";"Total";"2018";440
"Arraia-Maeztu";"Renta capital inmobiliario";"Total";"2019";450
"Arraia-Maeztu";"Renta capital inmobiliario";"Hombres";"2001";97
"Arraia-Maeztu";"Renta capital inmobiliario";"Hombres";"2003";174
"Arraia-Maeztu";"Renta capital inmobiliario";"Hombres";"2006";223
"Arraia-Maeztu";"Renta capital inmobiliario";"Hombres";"2009";201
"Arraia-Maeztu";"Renta capital inmobiliario";"Hombres";"2011";284
"Arraia-Maeztu";"Renta capital inmobiliario";"Hombres";"2013";271
"Arraia-Maeztu";"Renta capital inmobiliario";"Hombres";"2014";225
"Arraia-Maeztu";"Renta capital inmobiliario";"Hombres";"2015";308
"Arraia-Maeztu";"Renta capital inmobiliario";"Hombres";"2016";328
"Arraia-Maeztu";"Renta capital inmobiliario";"Hombres";"2017";492
"Arraia-Maeztu";"Renta capital inmobiliario";"Hombres";"2018";530
"Arraia-Maeztu";"Renta capital inmobiliario";"Hombres";"2019";555
"Arraia-Maeztu";"Renta capital inmobiliario";"Mujeres";"2001";128
"Arraia-Maeztu";"Renta capital inmobiliario";"Mujeres";"2003";106
"Arraia-Maeztu";"Renta capital inmobiliario";"Mujeres";"2006";100
"Arraia-Maeztu";"Renta capital inmobiliario";"Mujeres";"2009";540
"Arraia-Maeztu";"Renta capital inmobiliario";"Mujeres";"2011";588
"Arraia-Maeztu";"Renta capital inmobiliario";"Mujeres";"2013";569
"Arraia-Maeztu";"Renta capital inmobiliario";"Mujeres";"2014";551
"Arraia-Maeztu";"Renta capital inmobiliario";"Mujeres";"2015";570
"Arraia-Maeztu";"Renta capital inmobiliario";"Mujeres";"2016";558
"Arraia-Maeztu";"Renta capital inmobiliario";"Mujeres";"2017";299
"Arraia-Maeztu";"Renta capital inmobiliario";"Mujeres";"2018";330
"Arraia-Maeztu";"Renta capital inmobiliario";"Mujeres";"2019";315
"Arraia-Maeztu";"Renta de actividades";"Total";"2001";1273
"Arraia-Maeztu";"Renta de actividades";"Total";"2003";1353
"Arraia-Maeztu";"Renta de actividades";"Total";"2006";1280
"Arraia-Maeztu";"Renta de actividades";"Total";"2009";1175
"Arraia-Maeztu";"Renta de actividades";"Total";"2011";1727
"Arraia-Maeztu";"Renta de actividades";"Total";"2013";1622
"Arraia-Maeztu";"Renta de actividades";"Total";"2014";1561
"Arraia-Maeztu";"Renta de actividades";"Total";"2015";1782
"Arraia-Maeztu";"Renta de actividades";"Total";"2016";1696
"Arraia-Maeztu";"Renta de actividades";"Total";"2017";1770
"Arraia-Maeztu";"Renta de actividades";"Total";"2018";1594
"Arraia-Maeztu";"Renta de actividades";"Total";"2019";1928
"Arraia-Maeztu";"Renta de actividades";"Hombres";"2001";1758
"Arraia-Maeztu";"Renta de actividades";"Hombres";"2003";1849
"Arraia-Maeztu";"Renta de actividades";"Hombres";"2006";1677
"Arraia-Maeztu";"Renta de actividades";"Hombres";"2009";1836
"Arraia-Maeztu";"Renta de actividades";"Hombres";"2011";2531
"Arraia-Maeztu";"Renta de actividades";"Hombres";"2013";2277
"Arraia-Maeztu";"Renta de actividades";"Hombres";"2014";2040
"Arraia-Maeztu";"Renta de actividades";"Hombres";"2015";2343
"Arraia-Maeztu";"Renta de actividades";"Hombres";"2016";2328
"Arraia-Maeztu";"Renta de actividades";"Hombres";"2017";2380
"Arraia-Maeztu";"Renta de actividades";"Hombres";"2018";1960
"Arraia-Maeztu";"Renta de actividades";"Hombres";"2019";2400
"Arraia-Maeztu";"Renta de actividades";"Mujeres";"2001";685
"Arraia-Maeztu";"Renta de actividades";"Mujeres";"2003";772
"Arraia-Maeztu";"Renta de actividades";"Mujeres";"2006";809
"Arraia-Maeztu";"Renta de actividades";"Mujeres";"2009";335
"Arraia-Maeztu";"Renta de actividades";"Mujeres";"2011";758
"Arraia-Maeztu";"Renta de actividades";"Mujeres";"2013";799
"Arraia-Maeztu";"Renta de actividades";"Mujeres";"2014";967
"Arraia-Maeztu";"Renta de actividades";"Mujeres";"2015";1089
"Arraia-Maeztu";"Renta de actividades";"Mujeres";"2016";913
"Arraia-Maeztu";"Renta de actividades";"Mujeres";"2017";1009
"Arraia-Maeztu";"Renta de actividades";"Mujeres";"2018";1144
"Arraia-Maeztu";"Renta de actividades";"Mujeres";"2019";1317
"Arraia-Maeztu";"Transferencias";"Total";"2001";2260
"Arraia-Maeztu";"Transferencias";"Total";"2003";2323
"Arraia-Maeztu";"Transferencias";"Total";"2006";3122
"Arraia-Maeztu";"Transferencias";"Total";"2009";3978
"Arraia-Maeztu";"Transferencias";"Total";"2011";4837
"Arraia-Maeztu";"Transferencias";"Total";"2013";4896
"Arraia-Maeztu";"Transferencias";"Total";"2014";5266
"Arraia-Maeztu";"Transferencias";"Total";"2015";5248
"Arraia-Maeztu";"Transferencias";"Total";"2016";5423
"Arraia-Maeztu";"Transferencias";"Total";"2017";5449
"Arraia-Maeztu";"Transferencias";"Total";"2018";5381
"Arraia-Maeztu";"Transferencias";"Total";"2019";5824
"Arraia-Maeztu";"Transferencias";"Hombres";"2001";2600
"Arraia-Maeztu";"Transferencias";"Hombres";"2003";2616
"Arraia-Maeztu";"Transferencias";"Hombres";"2006";3426
"Arraia-Maeztu";"Transferencias";"Hombres";"2009";4639
"Arraia-Maeztu";"Transferencias";"Hombres";"2011";5962
"Arraia-Maeztu";"Transferencias";"Hombres";"2013";5919
"Arraia-Maeztu";"Transferencias";"Hombres";"2014";6056
"Arraia-Maeztu";"Transferencias";"Hombres";"2015";5976
"Arraia-Maeztu";"Transferencias";"Hombres";"2016";5982
"Arraia-Maeztu";"Transferencias";"Hombres";"2017";6114
"Arraia-Maeztu";"Transferencias";"Hombres";"2018";6343
"Arraia-Maeztu";"Transferencias";"Hombres";"2019";6699
"Arraia-Maeztu";"Transferencias";"Mujeres";"2001";1847
"Arraia-Maeztu";"Transferencias";"Mujeres";"2003";1981
"Arraia-Maeztu";"Transferencias";"Mujeres";"2006";2760
"Arraia-Maeztu";"Transferencias";"Mujeres";"2009";3137
"Arraia-Maeztu";"Transferencias";"Mujeres";"2011";3479
"Arraia-Maeztu";"Transferencias";"Mujeres";"2013";3610
"Arraia-Maeztu";"Transferencias";"Mujeres";"2014";4287
"Arraia-Maeztu";"Transferencias";"Mujeres";"2015";4346
"Arraia-Maeztu";"Transferencias";"Mujeres";"2016";4729
"Arraia-Maeztu";"Transferencias";"Mujeres";"2017";4619
"Arraia-Maeztu";"Transferencias";"Mujeres";"2018";4197
"Arraia-Maeztu";"Transferencias";"Mujeres";"2019";4691
"Arraia-Maeztu";"Renta disponible";"Total";"2001";9807
"Arraia-Maeztu";"Renta disponible";"Total";"2003";10883
"Arraia-Maeztu";"Renta disponible";"Total";"2006";13659
"Arraia-Maeztu";"Renta disponible";"Total";"2009";16119
"Arraia-Maeztu";"Renta disponible";"Total";"2011";17118
"Arraia-Maeztu";"Renta disponible";"Total";"2013";16710
"Arraia-Maeztu";"Renta disponible";"Total";"2014";16401
"Arraia-Maeztu";"Renta disponible";"Total";"2015";17804
"Arraia-Maeztu";"Renta disponible";"Total";"2016";16578
"Arraia-Maeztu";"Renta disponible";"Total";"2017";18026
"Arraia-Maeztu";"Renta disponible";"Total";"2018";19680
"Arraia-Maeztu";"Renta disponible";"Total";"2019";47714
"Arraia-Maeztu";"Renta disponible";"Hombres";"2001";11949
"Arraia-Maeztu";"Renta disponible";"Hombres";"2003";13922
"Arraia-Maeztu";"Renta disponible";"Hombres";"2006";17354
"Arraia-Maeztu";"Renta disponible";"Hombres";"2009";19199
"Arraia-Maeztu";"Renta disponible";"Hombres";"2011";20661
"Arraia-Maeztu";"Renta disponible";"Hombres";"2013";19290
"Arraia-Maeztu";"Renta disponible";"Hombres";"2014";18395
"Arraia-Maeztu";"Renta disponible";"Hombres";"2015";21813
"Arraia-Maeztu";"Renta disponible";"Hombres";"2016";19362
"Arraia-Maeztu";"Renta disponible";"Hombres";"2017";21961
"Arraia-Maeztu";"Renta disponible";"Hombres";"2018";24052
"Arraia-Maeztu";"Renta disponible";"Hombres";"2019";50842
"Arraia-Maeztu";"Renta disponible";"Mujeres";"2001";7212
"Arraia-Maeztu";"Renta disponible";"Mujeres";"2003";7317
"Arraia-Maeztu";"Renta disponible";"Mujeres";"2006";9277
"Arraia-Maeztu";"Renta disponible";"Mujeres";"2009";12202
"Arraia-Maeztu";"Renta disponible";"Mujeres";"2011";12842
"Arraia-Maeztu";"Renta disponible";"Mujeres";"2013";13466
"Arraia-Maeztu";"Renta disponible";"Mujeres";"2014";13933
"Arraia-Maeztu";"Renta disponible";"Mujeres";"2015";12843
"Arraia-Maeztu";"Renta disponible";"Mujeres";"2016";13124
"Arraia-Maeztu";"Renta disponible";"Mujeres";"2017";13110
"Arraia-Maeztu";"Renta disponible";"Mujeres";"2018";14303
"Arraia-Maeztu";"Renta disponible";"Mujeres";"2019";43665
"Arrankudiaga";"Renta total";"Total";"2001";12056
"Arrankudiaga";"Renta total";"Total";"2003";14968
"Arrankudiaga";"Renta total";"Total";"2006";17268
"Arrankudiaga";"Renta total";"Total";"2009";20622
"Arrankudiaga";"Renta total";"Total";"2011";20536
"Arrankudiaga";"Renta total";"Total";"2013";20102
"Arrankudiaga";"Renta total";"Total";"2014";20471
"Arrankudiaga";"Renta total";"Total";"2015";20989
"Arrankudiaga";"Renta total";"Total";"2016";23016
"Arrankudiaga";"Renta total";"Total";"2017";21623
"Arrankudiaga";"Renta total";"Total";"2018";21262
"Arrankudiaga";"Renta total";"Total";"2019";22767
"Arrankudiaga";"Renta total";"Hombres";"2001";17725
"Arrankudiaga";"Renta total";"Hombres";"2003";21112
"Arrankudiaga";"Renta total";"Hombres";"2006";24237
"Arrankudiaga";"Renta total";"Hombres";"2009";27756
"Arrankudiaga";"Renta total";"Hombres";"2011";27025
"Arrankudiaga";"Renta total";"Hombres";"2013";26310
"Arrankudiaga";"Renta total";"Hombres";"2014";27043
"Arrankudiaga";"Renta total";"Hombres";"2015";27184
"Arrankudiaga";"Renta total";"Hombres";"2016";30162
"Arrankudiaga";"Renta total";"Hombres";"2017";26916
"Arrankudiaga";"Renta total";"Hombres";"2018";25512
"Arrankudiaga";"Renta total";"Hombres";"2019";27217
"Arrankudiaga";"Renta total";"Mujeres";"2001";6680
"Arrankudiaga";"Renta total";"Mujeres";"2003";9199
"Arrankudiaga";"Renta total";"Mujeres";"2006";10594
"Arrankudiaga";"Renta total";"Mujeres";"2009";13993
"Arrankudiaga";"Renta total";"Mujeres";"2011";14334
"Arrankudiaga";"Renta total";"Mujeres";"2013";14045
"Arrankudiaga";"Renta total";"Mujeres";"2014";14186
"Arrankudiaga";"Renta total";"Mujeres";"2015";15019
"Arrankudiaga";"Renta total";"Mujeres";"2016";16160
"Arrankudiaga";"Renta total";"Mujeres";"2017";16407
"Arrankudiaga";"Renta total";"Mujeres";"2018";16931
"Arrankudiaga";"Renta total";"Mujeres";"2019";18327
"Arrankudiaga";"Renta del trabajo";"Total";"2001";7958
"Arrankudiaga";"Renta del trabajo";"Total";"2003";10113
"Arrankudiaga";"Renta del trabajo";"Total";"2006";11079
"Arrankudiaga";"Renta del trabajo";"Total";"2009";13793
"Arrankudiaga";"Renta del trabajo";"Total";"2011";14010
"Arrankudiaga";"Renta del trabajo";"Total";"2013";13203
"Arrankudiaga";"Renta del trabajo";"Total";"2014";13197
"Arrankudiaga";"Renta del trabajo";"Total";"2015";13486
"Arrankudiaga";"Renta del trabajo";"Total";"2016";14094
"Arrankudiaga";"Renta del trabajo";"Total";"2017";14213
"Arrankudiaga";"Renta del trabajo";"Total";"2018";14249
"Arrankudiaga";"Renta del trabajo";"Total";"2019";15212
"Arrankudiaga";"Renta del trabajo";"Hombres";"2001";11553
"Arrankudiaga";"Renta del trabajo";"Hombres";"2003";14033
"Arrankudiaga";"Renta del trabajo";"Hombres";"2006";15656
"Arrankudiaga";"Renta del trabajo";"Hombres";"2009";18157
"Arrankudiaga";"Renta del trabajo";"Hombres";"2011";17997
"Arrankudiaga";"Renta del trabajo";"Hombres";"2013";17085
"Arrankudiaga";"Renta del trabajo";"Hombres";"2014";17232
"Arrankudiaga";"Renta del trabajo";"Hombres";"2015";17070
"Arrankudiaga";"Renta del trabajo";"Hombres";"2016";17541
"Arrankudiaga";"Renta del trabajo";"Hombres";"2017";16990
"Arrankudiaga";"Renta del trabajo";"Hombres";"2018";16556
"Arrankudiaga";"Renta del trabajo";"Hombres";"2019";17624
"Arrankudiaga";"Renta del trabajo";"Mujeres";"2001";4550
"Arrankudiaga";"Renta del trabajo";"Mujeres";"2003";6432
"Arrankudiaga";"Renta del trabajo";"Mujeres";"2006";6696
"Arrankudiaga";"Renta del trabajo";"Mujeres";"2009";9738
"Arrankudiaga";"Renta del trabajo";"Mujeres";"2011";10198
"Arrankudiaga";"Renta del trabajo";"Mujeres";"2013";9416
"Arrankudiaga";"Renta del trabajo";"Mujeres";"2014";9339
"Arrankudiaga";"Renta del trabajo";"Mujeres";"2015";10032
"Arrankudiaga";"Renta del trabajo";"Mujeres";"2016";10788
"Arrankudiaga";"Renta del trabajo";"Mujeres";"2017";11475
"Arrankudiaga";"Renta del trabajo";"Mujeres";"2018";11896
"Arrankudiaga";"Renta del trabajo";"Mujeres";"2019";12805
"Arrankudiaga";"Renta capital mobiliario";"Total";"2001";484
"Arrankudiaga";"Renta capital mobiliario";"Total";"2003";827
"Arrankudiaga";"Renta capital mobiliario";"Total";"2006";1343
"Arrankudiaga";"Renta capital mobiliario";"Total";"2009";1287
"Arrankudiaga";"Renta capital mobiliario";"Total";"2011";893
"Arrankudiaga";"Renta capital mobiliario";"Total";"2013";947
"Arrankudiaga";"Renta capital mobiliario";"Total";"2014";1149
"Arrankudiaga";"Renta capital mobiliario";"Total";"2015";1074
"Arrankudiaga";"Renta capital mobiliario";"Total";"2016";2576
"Arrankudiaga";"Renta capital mobiliario";"Total";"2017";1222
"Arrankudiaga";"Renta capital mobiliario";"Total";"2018";706
"Arrankudiaga";"Renta capital mobiliario";"Total";"2019";516
"Arrankudiaga";"Renta capital mobiliario";"Hombres";"2001";566
"Arrankudiaga";"Renta capital mobiliario";"Hombres";"2003";1092
"Arrankudiaga";"Renta capital mobiliario";"Hombres";"2006";1649
"Arrankudiaga";"Renta capital mobiliario";"Hombres";"2009";1572
"Arrankudiaga";"Renta capital mobiliario";"Hombres";"2011";879
"Arrankudiaga";"Renta capital mobiliario";"Hombres";"2013";1154
"Arrankudiaga";"Renta capital mobiliario";"Hombres";"2014";1622
"Arrankudiaga";"Renta capital mobiliario";"Hombres";"2015";1517
"Arrankudiaga";"Renta capital mobiliario";"Hombres";"2016";4319
"Arrankudiaga";"Renta capital mobiliario";"Hombres";"2017";1606
"Arrankudiaga";"Renta capital mobiliario";"Hombres";"2018";898
"Arrankudiaga";"Renta capital mobiliario";"Hombres";"2019";690
"Arrankudiaga";"Renta capital mobiliario";"Mujeres";"2001";407
"Arrankudiaga";"Renta capital mobiliario";"Mujeres";"2003";579
"Arrankudiaga";"Renta capital mobiliario";"Mujeres";"2006";1051
"Arrankudiaga";"Renta capital mobiliario";"Mujeres";"2009";1021
"Arrankudiaga";"Renta capital mobiliario";"Mujeres";"2011";907
"Arrankudiaga";"Renta capital mobiliario";"Mujeres";"2013";745
"Arrankudiaga";"Renta capital mobiliario";"Mujeres";"2014";697
"Arrankudiaga";"Renta capital mobiliario";"Mujeres";"2015";646
"Arrankudiaga";"Renta capital mobiliario";"Mujeres";"2016";904
"Arrankudiaga";"Renta capital mobiliario";"Mujeres";"2017";845
"Arrankudiaga";"Renta capital mobiliario";"Mujeres";"2018";509
"Arrankudiaga";"Renta capital mobiliario";"Mujeres";"2019";343
"Arrankudiaga";"Renta capital inmobiliario";"Total";"2001";191
"Arrankudiaga";"Renta capital inmobiliario";"Total";"2003";240
"Arrankudiaga";"Renta capital inmobiliario";"Total";"2006";416
"Arrankudiaga";"Renta capital inmobiliario";"Total";"2009";477
"Arrankudiaga";"Renta capital inmobiliario";"Total";"2011";443
"Arrankudiaga";"Renta capital inmobiliario";"Total";"2013";457
"Arrankudiaga";"Renta capital inmobiliario";"Total";"2014";516
"Arrankudiaga";"Renta capital inmobiliario";"Total";"2015";500
"Arrankudiaga";"Renta capital inmobiliario";"Total";"2016";498
"Arrankudiaga";"Renta capital inmobiliario";"Total";"2017";496
"Arrankudiaga";"Renta capital inmobiliario";"Total";"2018";429
"Arrankudiaga";"Renta capital inmobiliario";"Total";"2019";554
"Arrankudiaga";"Renta capital inmobiliario";"Hombres";"2001";231
"Arrankudiaga";"Renta capital inmobiliario";"Hombres";"2003";260
"Arrankudiaga";"Renta capital inmobiliario";"Hombres";"2006";561
"Arrankudiaga";"Renta capital inmobiliario";"Hombres";"2009";568
"Arrankudiaga";"Renta capital inmobiliario";"Hombres";"2011";564
"Arrankudiaga";"Renta capital inmobiliario";"Hombres";"2013";553
"Arrankudiaga";"Renta capital inmobiliario";"Hombres";"2014";657
"Arrankudiaga";"Renta capital inmobiliario";"Hombres";"2015";573
"Arrankudiaga";"Renta capital inmobiliario";"Hombres";"2016";501
"Arrankudiaga";"Renta capital inmobiliario";"Hombres";"2017";624
"Arrankudiaga";"Renta capital inmobiliario";"Hombres";"2018";590
"Arrankudiaga";"Renta capital inmobiliario";"Hombres";"2019";569
"Arrankudiaga";"Renta capital inmobiliario";"Mujeres";"2001";152
"Arrankudiaga";"Renta capital inmobiliario";"Mujeres";"2003";222
"Arrankudiaga";"Renta capital inmobiliario";"Mujeres";"2006";277
"Arrankudiaga";"Renta capital inmobiliario";"Mujeres";"2009";392
"Arrankudiaga";"Renta capital inmobiliario";"Mujeres";"2011";328
"Arrankudiaga";"Renta capital inmobiliario";"Mujeres";"2013";364
"Arrankudiaga";"Renta capital inmobiliario";"Mujeres";"2014";382
